Aluno,Lab,PP_Delete,Duracao,PP_Paste,Qntd_Linhas,Linhas_Log,Qntd_Linhas_Filtrado,Nota,Submissoes,Testes
1330,1014,1.3399999999999999,5649560,0.38,39,1006,33,0.0,34,32
1330,1035,1.42,5260168,0.08,129,3757,75,0.0,77,72
1330,1045,0.8200000000000001,3994168,0.060000000000000005,60,2821,44,0.0,29,126
1330,1058,0.25,860738,0.0,25,1328,15,0.0,60,198
1330,1072,1.1300000000000001,1278693,0.13,135,3377,87,0.0,41,145
1330,1073,0.51,1802405,0.19,52,1394,42,0.0,22,28
1330,1097,0.45,1571,0.04,39,1237,31,0.0,5,37
1330,1120,1.4000000000000001,1835661,0.31999999999999995,250,7625,214,0.0,108,380
1330,1132,0.1,11020,0.03,14,442,13,0.0,1,3
1330,1147,0.32999999999999996,2739,0.1,63,1877,57,0.0,8,36
1330,1158,1.7399999999999998,1749765,0.09000000000000001,194,10302,145,0.0,166,596
1330,1187,0.34,9523,0.02,51,2363,40,0.0,7,86
1330,1199,1.6600000000000001,2092470,0.09999999999999998,205,17866,156,0.0,235,753
1330,1215,0.37,526809,0.01,27,2328,23,0.0,0,40
1330,1232,0.33,7815,0.0,39,1787,28,0.0,14,80
1330,1246,1.7999999999999998,3435351,0.11,228,15504,165,0.0,86,610
1330,1250,0.22999999999999998,637,0.0,18,465,15,0.0,0,5
1330,1266,1.76,689472,0.34,270,5397,175,0.0,33,224
1330,1286,0.08,415,0.0,5,102,4,0.0,0,0
1330,1293,0.42000000000000004,9096,0.01,38,3151,27,0.0,8,138
1330,1313,0.35,7297,0.02,76,3745,65,0.0,3,71
1373,1016,0.0,137,0.0,1,11,1,0.0,0,2
1378,1016,1.5300000000000002,3876,0.66,51,2104,38,0.0,35,35
1378,1034,1.3700000000000003,4186,0.07,110,3159,47,0.0,11,14
1456,1017,3.01,1505,0.32,54,1170,48,0.0,28,22
1456,1031,2.48,1376701,0.03,110,4701,82,0.0,32,35
1456,1043,1.95,131680,0.07,72,3997,70,0.0,25,72
1456,1056,1.0,922,0.01,17,753,16,0.0,8,23
1456,1083,2.0599999999999996,1295261,0.02,111,6542,83,0.0,41,180
1456,1085,0.83,425594,0.24000000000000002,52,3354,49,0.0,24,126
1456,1095,0.55,2553,0.02,27,1657,27,0.0,5,36
1456,1118,2.68,948860,0.14,320,13939,305,0.0,42,292
1456,1123,0.8400000000000001,432947,0.02,60,3952,50,0.0,24,173
1456,1145,0.53,2433,0.02,59,3263,55,0.0,4,39
1456,1162,2.73,1463153,0.03,160,6847,132,0.0,22,185
1456,1183,0.5800000000000001,12295,0.0,33,2913,30,0.0,12,113
1456,1198,1.31,894422,0.6000000000000001,183,5418,174,0.0,24,148
1456,1225,0.5,8507,0.01,26,2537,22,0.0,1,93
1456,1244,1.18,9915,0.05,98,4810,76,0.0,27,157
1456,1258,0.65,10345,0.0,27,3082,22,0.0,2,73
1456,1265,2.16,18296,0.51,229,5561,155,0.0,18,133
1456,1301,0.8300000000000001,10795,0.0,39,3890,34,0.0,2,93
1456,1303,0.43999999999999995,10356,0.06,66,5156,44,0.0,1,164
1464,1014,1.85,51633,0.29000000000000004,46,822,40,0.0,81,59
1464,1035,0.98,1032,0.060000000000000005,48,850,42,0.0,10,10
1502,1037,0.51,875,0.0,18,615,8,0.0,6,5
1502,1048,0.6000000000000001,3056,0.05,38,1816,31,0.0,15,45
1543,1019,2.6300000000000003,432727,0.64,48,1027,40,0.0,42,38
1543,1038,2.1,525716,0.38,133,2508,65,0.0,26,19
1543,1060,0.39,3131,0.0,13,891,10,0.0,4,30
1543,1087,1.84,4232,0.02,93,1913,45,0.0,16,42
1543,1099,0.63,1906,0.01,25,1369,21,0.0,11,44
1543,1149,0.5,1208055,0.06,32,1719,29,0.0,7,74
1543,1159,0.42000000000000004,38,1.7400000000000002,171,85,135,0.0,12,36
1543,1189,0.26,2304,0.01,11,672,7,0.0,6,42
1543,1209,0.73,2163,1.2200000000000002,181,881,168,0.0,27,46
1543,1253,0.2,208,1.91,189,79,172,0.0,12,36
1543,1269,0.0,174,0.0,1,16,1,0.0,0,0
1543,1283,0.0,657,0.34,27,12,26,0.0,2,6
