Duracao,Qntd_Linhas,Qntd_Linhas_Filtrado,Testes,Submissoes,PP_Paste,PP_Delete,Linhas_Log,Nota
58800.833333,12.666667,6.083333,3.833333,4.25,0.020833,0.153333,286.333333,0
57,5,5,3,1,0.03,0,31,1.42857
1677,11,6,27,11.5,0,0.24,749.5,0
61591,11,8,3,1,0.04,0,50,1.66667
2718,6,5.5,6.5,4.5,0.015,0.24,735.5,0
1465,17.5,15,11.5,4,0.005,0.215,1329,0
3266.5,11.5,9,6.5,2,0.01,0.165,837.5,0
2134,14.5,10,9.5,1.5,0.01,0.2,740.5,0
2616.5,15,13.5,5.5,0.5,0.005,0.18,608,0
3144,16.5,15.5,20.5,2.5,0,0.27,1047.5,0
24464.071429,2.785714,2.285714,6.142857,1.571429,0.02,0.211429,99.214286,0
217418.166667,15.666667,12.5,15.5,5,0.035,0.131667,198,0
262662.333333,14.111111,9.333333,10,1.888889,0.01,0.207778,660.444444,0
2264.666667,10,7.666667,19.666667,2.666667,0.003333,0.333333,698.666667,6.66667
3712.333333,23,20.666667,38.666667,7.666667,0.006667,0.35,664,0
25545.75,13,11,5.416667,1.333333,0.040833,0.315833,355.083333,0
2353.666667,10.666667,10.666667,17,1.666667,0.006667,0.253333,384,3.33333
237711,11.666667,9.333333,21.333333,1.666667,0.036667,0.193333,740.333333,6.66667
79625.444444,24.444444,19.444444,5.666667,1.222222,0.016667,0.163333,329,0
2603.333333,17.666667,13.666667,14,3.333333,0.02,0.3,364.666667,0
12330.714286,3,2.428571,2.857143,2.642857,0.03,0.132857,65.142857,0
206858.909091,13.181818,5.909091,10.818182,2.636364,0.043636,0.205455,280.909091,8.33333
115.5,3,2.5,7.5,1.5,0.005,0.11,116.5,1.42857
1475.5,10.5,6,23.5,5,0.005,0.195,566.5,0
276267.666667,14,8.888889,36.333333,10.888889,0.005556,0.218889,629,8.88889
1549.5,10.5,7,27,4.5,0.035,0.295,547.5,0
108154.857143,26.857143,17.142857,15.714286,4.142857,0.041429,0.167143,378.714286,7.77778
3243,13,12,54,4,0.02,0.22,2055,0
122899.666667,13.666667,10.916667,19.75,5.583333,0.024167,0.144167,164,9.16667
1200,13.5,8,21,3.5,0.01,0.465,336.5,0
4121.5,16,12,49.5,10.5,0.005,0.21,1065.5,0
4816,13,9.5,36,4.5,0,0.225,1173,1.65
7556,20.5,17,23.5,0.5,0.01,0.285,1279,0
962,11,10.5,19.5,3,0,0.175,939.5,0
11469.571429,2.5,2.071429,7.142857,2.357143,0,0.115714,134.5,0
1451,4,3,20,4,0,0.093333,472.666667,2.85714
2163,7.5,6,27,4,0,0.185,1004,0
2462.5,14.5,10,25,5,0,0.175,1167,0
131,2,1,0,0,0,0.06,31,0
2402,19,16,17.5,0.5,0.005,0.19,1872.5,0
2702,20,14,10,4.5,0,0.155,1139,0
40467.357143,3.428571,2.714286,4.714286,1.5,0,0.136429,111.428571,0
193258.833333,13.416667,6.083333,18,3,0,0.138333,524.333333,0
3935.333333,10,6.666667,25,2.333333,0,0.176667,883.666667,0
1341.444444,13.555556,9.222222,11.777778,1.888889,0,0.152222,559.888889,0
3090,10.666667,8.666667,53.333333,7,0,0.21,1458.666667,3.33333
819,22,15,2,0,0,0.24,17,0
554,6.5,4.5,7,2.5,0.005,0.22,326.5,1.42857
1090,11,6,11,1,0.005,0.205,466.5,0
1521,11.5,9,11.5,2,0.005,0.295,848,0
1262.5,17,15,17,2.5,0,0.19,946,0
2864.583333,13.75,10.75,11.75,3.833333,0.038333,0.115,310.416667,0
2072.5,13,8.5,31.5,3.5,0.005,0.275,937.5,0
1033.727273,14.636364,13.818182,8,2.909091,0.001818,0.121818,392.909091,0
