Duracao,Qntd_Linhas,Qntd_Linhas_Filtrado,Testes,Submissoes,PP_Paste,PP_Delete,Linhas_Log,Nota
843.25,9.25,5.75,4.75,2.5,0.01,0.12250000000000001,187.0,2.5
68.0,3.0,3.0,1.0,0.0,0.02,0.04,81.0,0.0
94157.35714285714,3.0714285714285716,2.5714285714285716,5.285714285714286,2.0714285714285716,0.022142857142857148,0.10571428571428572,82.5,0.0
77781.75,13.916666666666666,6.666666666666667,5.5,2.1666666666666665,0.01916666666666667,0.12666666666666668,189.08333333333334,0.0
3717.714285714286,10.285714285714286,6.714285714285714,12.714285714285714,1.7142857142857142,0.008571428571428572,0.13571428571428573,243.14285714285714,0.0
770.0,10.0,7.0,10.0,2.0,0.005,0.10500000000000001,318.5,0.0
221744.11111111112,14.555555555555555,8.555555555555555,14.333333333333334,3.888888888888889,0.02888888888888889,0.11777777777777779,374.77777777777777,0.0
16.0,15.833333333333334,12.5,3.1666666666666665,1.5,0.155,0.03333333333333333,16.833333333333332,0.0
3082.0,15.5,11.0,12.5,1.5,0.005,0.155,649.5,0.0
22.0,21.5,17.0,3.0,1.1666666666666667,0.1416666666666667,0.041666666666666664,11.166666666666666,0.0
100992.55555555556,24.333333333333332,18.666666666666668,10.222222222222221,2.3333333333333335,0.16666666666666666,0.08555555555555555,148.44444444444446,0.0
2206.5,17.0,14.5,25.5,6.0,0.01,0.195,983.0,0.0
89192.25,15.5,10.166666666666666,9.416666666666666,2.1666666666666665,0.11,0.16333333333333333,215.08333333333334,0.0
1741.0,12.5,5.5,15.5,0.5,0.005,0.11,607.5,0.0
68417.72727272728,15.363636363636363,13.727272727272727,4.636363636363637,1.3636363636363635,0.1527272727272727,0.060909090909090906,50.36363636363637,0.0
523.8,15.0,11.2,8.4,1.8,0.06599999999999999,0.174,200.4,0.0
2161.0,11.5,8.5,16.5,1.0,0.005,0.375,870.5,0.0
97799.0,17.2,11.7,5.7,1.1,0.15699999999999997,0.06799999999999999,43.7,0.0
40.8,14.8,10.6,4.0,1.6,0.15,0.06000000000000001,15.4,0.0
1611.5,9.5,6.0,5.0,0.0,0.015,0.235,413.0,0.0
1898.6,22.6,14.7,3.1,1.3,0.10400000000000001,0.183,172.2,0.0
1088.5,14.5,13.0,12.0,2.0,0.015,0.41,343.5,6.65
18708.0,3.5,2.7142857142857144,5.214285714285714,1.5714285714285714,0.028571428571428574,0.15500000000000003,111.21428571428571,0.0
28731.333333333332,16.166666666666668,6.583333333333333,13.916666666666666,1.6666666666666667,0.0175,0.2383333333333333,437.1666666666667,0.0
82200.42857142857,11.428571428571429,6.714285714285714,4.285714285714286,1.1428571428571428,0.04,0.16285714285714284,158.71428571428572,0.0
1193.5,15.0,8.5,17.0,2.5,0.0,0.22,700.0,0.0
97299.77777777778,16.333333333333332,9.0,38.0,9.0,0.003333333333333333,0.19888888888888892,1131.3333333333333,0.0
105663.0,17.166666666666668,12.5,26.166666666666668,3.0,0.006666666666666667,0.20666666666666667,822.0,0.0
2786.0,19.5,9.0,32.5,3.0,0.0,0.27,1371.0,0.0
184152.5,21.833333333333332,16.5,6.166666666666667,1.1666666666666667,0.05833333333333333,0.19499999999999998,331.5,0.0
111232.11111111111,23.77777777777778,18.333333333333332,44.666666666666664,8.444444444444445,0.07333333333333333,0.08222222222222222,818.2222222222222,0.0
2609.0,18.0,15.0,54.0,10.0,0.005,0.21000000000000002,1350.5,0.0
141373.16666666666,15.166666666666666,10.0,15.916666666666666,1.4166666666666667,0.02416666666666667,0.2625,618.8333333333334,0.0
416.0,2.0,1.0,0.0,0.0,0.0,0.17,59.0,0.0
1772.0,7.5,6.0,16.5,2.0,0.0,0.135,301.0,0.0
188629.9090909091,15.272727272727273,13.727272727272727,11.636363636363637,1.8181818181818181,0.04727272727272727,0.18181818181818182,325.45454545454544,0.0
1489.0,17.0,15.0,26.0,1.5,0.01,0.27,878.0,0.0
111291.4,16.4,11.7,18.8,2.0,0.005,0.46699999999999997,437.0,0.0
108.6,13.2,10.6,2.8,1.0,0.11600000000000002,0.148,27.6,0.0
3230.5,17.0,11.5,14.5,0.0,0.0,0.21,637.0,0.0
12061.4,22.8,15.2,10.4,1.9,0.031,0.22000000000000003,356.2,0.0
22691.333333333332,13.0,11.0,39.333333333333336,2.3333333333333335,0.0033333333333333335,0.22999999999999998,726.6666666666666,0.0
1292.5,15.0,13.0,17.0,3.0,0.005,0.275,498.5,0.0
292.35714285714283,4.428571428571429,3.4285714285714284,5.571428571428571,1.9285714285714286,0.0,0.20928571428571427,206.35714285714286,0.0
7720.0,18.833333333333332,6.75,8.416666666666666,2.0833333333333335,0.0,0.18833333333333332,607.1666666666666,0.0
24683.0,20.0,7.571428571428571,13.0,1.2857142857142858,0.0,0.12999999999999998,699.5714285714286,0.0
841.0,26.0,6.5,14.5,2.0,0.0,0.22,657.5,0.0
67267.33333333333,19.333333333333332,9.0,9.88888888888889,1.7777777777777777,0.0011111111111111111,0.17,609.7777777777778,0.0
582.3333333333334,11.666666666666666,9.666666666666666,21.666666666666668,7.0,0.01,0.19000000000000003,477.3333333333333,0.0
1345.5,22.0,13.0,8.5,1.0,0.0,0.225,899.5,0.0
326.0,26.0,15.0,0.0,0.0,0.0,0.75,40.0,0.0
83602.33333333333,19.666666666666668,9.333333333333334,15.333333333333334,0.6666666666666666,0.0,0.41999999999999993,1584.0,1.66667
2906.0,20.0,11.0,82.0,15.0,0.0,0.25,2502.0,0.0
258.2142857142857,3.857142857142857,3.4285714285714284,2.857142857142857,1.1428571428571428,0.016428571428571428,0.13214285714285715,79.28571428571429,0.0
628.25,9.333333333333334,6.333333333333333,5.083333333333333,2.0,0.0016666666666666668,0.16500000000000004,289.25,0.0
554.0,5.0,5.0,3.5,0.5,0.005,0.155,245.0,1.42857
317.5,7.0,6.5,7.0,2.0,0.005,0.095,379.0,0.0
790.5555555555555,12.222222222222221,8.666666666666666,11.555555555555555,3.6666666666666665,0.005555555555555556,0.19999999999999998,398.55555555555554,0.0
1257.0,13.5,13.0,17.5,5.5,0.01,0.18,513.0,0.0
1730.5,9.25,7.0,7.0,0.25,0.0175,0.41000000000000003,1387.25,0.0
18.0,1.0,1.0,0.0,0.0,0.0,0.4,15.0,0.0
560.0,10.5,2.5,7.0,0.0,0.0,0.17,261.5,0.0
2621.5,6.5,5.0,26.5,0.0,0.0,0.255,1049.0,0.0
1210.6666666666667,13.333333333333334,6.333333333333333,23.0,2.3333333333333335,0.0,0.23666666666666666,857.0,3.33333
2129.5,8.5,7.0,24.0,0.5,0.0,0.18,1159.5,0.0
23.77777777777778,28.77777777777778,19.77777777777778,2.7777777777777777,1.0,0.08222222222222222,0.16555555555555557,12.444444444444445,0.0
2830.0,16.0,10.0,72.0,5.0,0.02,0.23,2430.0,0.0
50860.78571428572,3.642857142857143,3.2142857142857144,2.7857142857142856,1.5714285714285714,0.03071428571428572,0.11785714285714288,80.07142857142857,0.0
36107.833333333336,14.75,6.5,3.8333333333333335,2.0,0.0375,0.17333333333333334,90.16666666666667,0.0
208.28571428571428,9.714285714285714,6.428571428571429,14.857142857142858,4.0,0.008571428571428572,0.1742857142857143,203.85714285714286,0.0
