Aluno,Lab,Duracao,Qntd_Linhas,Qntd_Linhas_Filtrado,Testes,Submissoes,PP_Paste,PP_Delete,Linhas_Log,Nota
1058,49,762.0,7.0,5.2,1.4,1.4,0.008,0.14,275.4,0.0
1088,106,160.0,16.0,16.0,2.0,0.0,0.12,0.12,16.0,0.0
1169,211,16.9,18.7,15.5,2.6,1.0,0.18799999999999997,0.0,10.8,0.0
1170,28,142.0,3.0,3.0,3.5,3.5,0.02,0.14,155.0,0.0
1171,103,667.3333333333334,21.0,19.0,0.0,0.0,0.11666666666666665,0.0,10.0,0.0
1171,213,5.0,10.0,10.0,1.0,2.0,0.1,0.0,10.0,0.0
1175,106,361.0,1.0,0.0,0.0,0.0,0.0,0.33,6.0,0.0
1175,136,890.0,9.0,8.0,10.0,0.0,0.01,0.16,386.0,0.0
1231,27,39286.71428571428,5.857142857142857,4.0,2.2857142857142856,2.2857142857142856,0.004285714285714286,0.20857142857142857,453.0,0.0
1231,42,103400.7,12.0,6.3,3.1,4.1,0.002,0.205,694.9,0.0
1231,48,1398.5,10.0,6.0,1.0,5.0,0.0,0.31000000000000005,805.5,0.0
1231,74,612.5714285714286,10.142857142857142,8.0,2.2857142857142856,2.0,0.0,0.17714285714285719,557.1428571428571,0.0
1231,94,215973.5,16.0,11.0,63.0,16.5,0.005,0.23,770.0,0.0
1231,103,51502.22222222222,26.666666666666668,24.666666666666668,38.888888888888886,13.777777777777779,0.005555555555555556,0.24222222222222223,1448.4444444444443,0.0
1231,122,441.5,17.5,16.5,6.0,2.0,0.01,0.245,609.0,0.0
1231,131,67557.36363636363,13.272727272727273,10.909090909090908,36.0,12.727272727272727,0.002727272727272727,0.1881818181818182,865.7272727272727,0.0
1231,148,2367.5,13.0,11.5,41.5,9.0,0.0,0.21500000000000002,1153.0,0.0
1231,163,64932.454545454544,14.909090909090908,12.818181818181818,12.090909090909092,8.090909090909092,0.0018181818181818182,0.21545454545454545,746.3636363636364,0.0
1231,174,1942.0,16.0,14.0,27.5,8.5,0.0,0.27,1231.5,0.0
1231,180,117926.3,13.9,11.6,23.9,5.7,0.001,0.28200000000000003,836.3,0.0
1231,197,3127.5,19.0,15.0,61.5,28.5,0.0,0.27,1668.5,0.0
1231,205,44564.3,21.4,18.6,21.1,7.4,0.005,0.30300000000000005,926.2,0.0
1231,216,3200.0,18.5,15.5,81.0,21.0,0.0,0.28,2373.5,0.0
1232,27,11977.857142857143,7.857142857142857,3.4285714285714284,1.4285714285714286,1.4285714285714286,0.08,0.11714285714285715,107.14285714285714,0.0
1232,42,126765.8,17.0,7.1,2.4,2.0,0.015,0.14999999999999997,322.1,0.0
1232,48,551.5,10.0,5.0,1.5,5.5,0.0,0.16,352.0,0.0
1232,74,322540.14285714284,13.142857142857142,8.571428571428571,2.7142857142857144,1.4285714285714286,0.015714285714285715,0.15285714285714286,237.85714285714286,0.0
1232,94,979.5,13.0,9.0,33.0,8.0,0.01,0.195,606.5,0.0
1232,103,206754.22222222222,25.444444444444443,19.444444444444443,41.111111111111114,13.0,0.02333333333333333,0.16,684.5555555555555,0.0
1232,122,941.0,36.0,26.5,10.0,3.0,0.034999999999999996,0.18,612.5,0.0
1232,131,108698.90909090909,11.727272727272727,8.454545454545455,23.90909090909091,3.909090909090909,0.007272727272727273,0.1509090909090909,479.8181818181818,0.0
1232,148,1066.5,11.5,8.5,14.5,2.0,0.015,0.2,332.5,0.0
1232,163,78285.90909090909,16.454545454545453,11.727272727272727,23.636363636363637,1.6363636363636365,0.004545454545454546,0.1490909090909091,637.4545454545455,0.0
1232,174,1957.5,17.0,13.5,35.5,4.0,0.0,0.145,904.5,0.0
1232,180,499290.9,20.4,12.6,20.8,3.1,0.006,0.20600000000000002,732.1,0.0
1232,197,564.0,22.5,14.0,6.0,1.0,0.01,0.195,438.0,0.0
1232,205,513819.9,26.0,17.0,20.8,2.5,0.012,0.15399999999999997,797.0,0.0
1232,216,1194.5,22.5,15.5,29.0,5.5,0.01,0.175,658.5,0.0
1233,27,17629.714285714286,3.857142857142857,3.4285714285714284,143.57142857142858,149.28571428571428,0.01,0.18285714285714288,869.4285714285714,0.0
1233,42,307926.3,13.9,6.6,3.7,18.9,0.003,0.24300000000000002,863.8,0.0
1233,48,1581.5,11.0,5.0,19.0,20.5,0.0,0.29,1305.5,0.0
1233,74,520984.71428571426,15.0,8.142857142857142,29.571428571428573,19.857142857142858,0.0,0.25285714285714284,1031.7142857142858,0.0
1233,94,1624.0,15.0,7.5,63.0,15.5,0.0,0.28,1583.5,0.0
1233,103,174741.55555555556,49.888888888888886,36.333333333333336,28.444444444444443,9.222222222222221,0.024444444444444446,0.12000000000000001,954.8888888888889,0.0
1233,122,1925.5,45.5,30.5,17.0,2.0,0.01,0.22000000000000003,2422.5,0.0
1233,131,206792.9090909091,20.818181818181817,9.909090909090908,21.454545454545453,5.545454545454546,0.004545454545454546,0.17272727272727273,874.5454545454545,0.0
1233,148,2281.0,13.0,6.0,124.0,2.5,0.0,0.26,1907.5,0.0
1233,163,170135.45454545456,24.636363636363637,14.636363636363637,48.54545454545455,13.0,0.020000000000000004,0.20545454545454547,1227.090909090909,0.0
1233,174,1350.0,28.666666666666668,15.666666666666666,38.333333333333336,11.666666666666666,0.006666666666666667,0.26333333333333336,1104.6666666666667,0.0
1233,180,128930.5,17.8,11.2,22.4,2.9,0.021,0.16300000000000003,1206.5,0.0
1233,197,4525.0,18.5,11.0,60.5,7.0,0.0,0.27,2311.0,0.0
1233,205,135083.2,26.1,22.0,4.2,1.9,0.099,0.075,228.2,0.0
1233,216,605618.0,29.0,18.0,87.0,8.0,0.0,0.22,5139.0,0.0
1234,27,115822.57142857143,4.428571428571429,3.5714285714285716,3.2857142857142856,3.857142857142857,0.002857142857142857,0.2471428571428571,775.4285714285714,0.0
1234,42,345827.6,12.3,6.6,3.7,3.3,0.001,0.215,1048.7,0.0
1234,48,1618.0,9.5,6.0,2.5,2.5,0.0,0.26,865.5,0.0
1234,74,20057.285714285714,8.714285714285714,7.857142857142857,12.714285714285714,7.428571428571429,0.0,0.19428571428571426,811.2857142857143,0.0
1234,94,402387.5,11.5,8.5,26.0,4.5,0.005,0.21999999999999997,1006.5,0.0
1234,103,293505.1111111111,22.333333333333332,20.77777777777778,41.44444444444444,13.666666666666666,0.0022222222222222222,0.22111111111111112,1597.6666666666667,0.0
1234,122,397827.0,23.5,22.5,18.5,3.0,0.005,0.21000000000000002,1787.5,0.0
1234,131,150853.63636363635,14.090909090909092,11.545454545454545,20.181818181818183,5.090909090909091,0.0018181818181818182,0.21000000000000005,895.6363636363636,0.0
1234,148,2624.5,13.5,12.5,42.5,6.5,0.005,0.20500000000000002,1060.0,0.0
1234,163,67939.72727272728,14.272727272727273,13.272727272727273,21.545454545454547,8.636363636363637,0.0,0.2881818181818182,1588.3636363636363,0.0
1234,174,2965.0,12.0,10.0,60.0,19.5,0.005,0.20500000000000002,1109.5,0.0
1234,180,18669.2,12.9,10.4,17.4,3.7,0.0,0.16699999999999998,581.6,0.0
1234,197,4345.5,19.0,15.5,57.5,17.5,0.0,0.235,1461.0,0.0
1234,205,193796.7,20.1,17.6,25.7,8.3,0.023,0.182,1225.9,0.0
