Aluno,Lab,PP_Delete,Duracao,PP_Paste,Qntd_Linhas,Linhas_Log,Qntd_Linhas_Filtrado,Submissoes,Testes,Corretos,Incorretos,Branco,Nota
1085,1031,0.53,80.0,0.0,25.0,19.0,9.0,0.0,1.0,0,0,12,0.0
1085,1083,0.17,148.0,0.005,12.0,186.0,5.5,2.0,6.0,2,0,8,2.0
1085,1118,0.1725,956.25,0.0025,28.0,871.0,20.0,5.75,20.5,3,1,8,2.5
1085,1265,0.3,1864.0,0.0,32.0,991.0,20.0,17.0,42.0,1,0,11,0.833333
1163,1012,0.2164285714285714,55143.5,0.0071428571428571435,2.5,82.78571428571429,2.0714285714285716,2.4285714285714284,1.2142857142857142,14,0,0,10.0
1163,1029,0.21166666666666664,490094.58333333326,0.0033333333333333327,10.666666666666666,416.33333333333326,6.166666666666668,2.833333333333333,6.416666666666668,12,0,0,10.0
1163,1051,0.2275,51401.66666666666,0.004166666666666668,9.083333333333334,460.75,6.833333333333332,2.6666666666666665,13.166666666666664,12,0,0,10.0
1163,1052,0.15666666666666665,363.0,0.0033333333333333327,8.333333333333334,300.0,5.666666666666668,1.0,3.0,3,0,0,10.0
1163,1084,0.204,166561.1,0.012,14.5,415.8,8.6,6.9,13.3,10,0,0,10.0
1163,1089,0.02333333333333333,68297.33333333331,0.09166666666666667,12.166666666666664,13.333333333333336,8.333333333333334,1.3333333333333333,3.333333333333333,6,0,0,10.0
1163,1106,0.15666666666666668,629.6666666666666,0.006666666666666667,11.666666666666664,493.66666666666674,9.666666666666666,1.0,8.666666666666666,3,0,0,10.0
1163,1129,0.14833333333333334,83193.16666666669,0.03333333333333333,25.58333333333333,797.8333333333335,21.91666666666667,10.833333333333336,24.0,12,0,0,10.0
1163,1130,0.215,119783.5,0.005,15.0,1455.5,13.0,4.5,16.0,0,2,10,0.0
1163,1152,0.18000000000000002,885.6666666666665,0.0033333333333333327,23.66666666666667,891.3333333333335,20.33333333333333,1.6666666666666667,10.333333333333334,3,0,0,10.0
1163,1155,0.18416666666666667,128574.33333333331,0.015833333333333338,14.583333333333336,481.08333333333326,9.666666666666666,2.75,5.833333333333332,12,0,0,10.0
1163,1182,0.2466666666666667,3748.0,0.0033333333333333327,13.0,1604.0,9.333333333333334,14.333333333333336,67.66666666666667,2,1,0,6.66667
1163,1194,0.1266666666666667,23021.08333333333,0.005833333333333333,15.583333333333336,541.75,13.166666666666664,4.833333333333333,12.583333333333336,12,0,0,10.0
1163,1220,0.24,4051.333333333334,0.0033333333333333327,14.0,1214.0,10.666666666666666,31.33333333333333,69.66666666666667,2,1,0,6.66667
1163,1228,0.13909090909090913,533.7272727272727,0.002727272727272727,15.363636363636365,308.27272727272725,10.454545454545457,1.6363636363636365,4.636363636363637,11,0,1,9.16667
1163,1230,0.038,34137.4,0.11200000000000004,11.2,99.2,10.6,1.2,4.2,5,0,7,4.16667
1163,1255,0.2233333333333333,3085.666666666666,0.0033333333333333327,15.333333333333336,949.6666666666664,12.666666666666664,2.333333333333333,18.0,3,0,0,10.0
1163,1273,0.13,151063.83333333337,0.05166666666666666,17.166666666666668,208.25,13.416666666666664,1.4166666666666667,4.416666666666667,12,0,0,10.0
1163,1302,0.23666666666666664,3020.333333333333,0.0033333333333333327,13.0,1143.0,9.333333333333334,5.0,44.0,2,0,1,6.66667
1168,1018,0.055,464082.0,0.005,3.0,47.0,3.0,2.5,2.0,1,0,13,0.714286
1168,1031,0.0,19.0,0.0,2.0,37.0,2.0,0.0,0.0,0,0,12,0.0
1177,1012,0.1957142857142857,315925.21428571426,0.008571428571428572,2.7857142857142856,102.5,2.0714285714285716,3.1428571428571432,3.0,14,0,0,10.0
1177,1029,0.3008333333333333,188192.0,0.0025,14.75,923.0,6.333333333333332,8.666666666666666,13.083333333333336,12,0,0,10.0
1177,1051,0.22000000000000008,342053.66666666674,0.0016666666666666668,14.083333333333336,775.3333333333335,7.0,4.083333333333333,31.0,12,0,0,10.0
1177,1052,0.2,765.0,0.0,11.333333333333336,346.0,4.666666666666667,1.0,13.0,3,0,0,10.0
1177,1084,0.321,384220.5,0.002,16.7,980.1,8.5,7.2,44.0,10,0,0,10.0
1177,1089,0.25166666666666665,2805378.166666666,0.005,12.0,555.6666666666666,8.333333333333334,5.666666666666668,25.66666666666667,6,0,0,10.0
1177,1106,0.2433333333333333,1486.0,0.0033333333333333327,14.333333333333336,863.0,11.0,1.0,15.666666666666664,3,0,0,10.0
1177,1129,0.2516666666666667,125043.16666666669,0.008333333333333333,26.75,1010.5833333333336,23.91666666666667,5.916666666666668,29.41666666666667,12,0,0,10.0
1177,1130,0.18,4150953.0,0.01,19.0,652.0,17.0,4.0,14.0,1,0,11,0.833333
1177,1152,0.14,959.3333333333336,0.013333333333333334,25.0,754.3333333333335,21.0,1.0,10.0,3,0,0,10.0
1177,1155,0.15333333333333332,328098.33333333326,0.0016666666666666668,13.75,577.0,9.666666666666666,3.4166666666666665,9.083333333333334,12,0,0,10.0
1177,1182,0.2966666666666667,2508506.666666666,0.0,14.0,1280.0,11.333333333333336,6.0,44.66666666666666,2,1,0,6.66667
1177,1194,0.1575,84563.83333333331,0.05750000000000001,15.333333333333336,666.6666666666666,13.333333333333336,5.166666666666667,18.916666666666668,12,0,0,10.0
1177,1220,0.2433333333333333,471039.66666666674,0.0033333333333333327,9.0,845.6666666666665,5.666666666666668,0.6666666666666666,21.0,2,0,1,6.66667
1177,1228,0.27,424671.25,0.0033333333333333327,16.916666666666668,1568.333333333333,13.666666666666664,10.5,54.16666666666666,12,0,0,10.0
1177,1230,0.22625,311200.75,0.0025,12.0,745.0,9.125,9.0,32.5,6,1,5,5.0
1177,1255,0.24,4043.0,0.0033333333333333327,17.333333333333332,1050.3333333333333,14.333333333333336,7.333333333333332,45.0,3,0,0,10.0
1177,1273,0.09916666666666668,150051.33333333337,0.09333333333333334,18.0,143.16666666666666,13.416666666666664,1.8333333333333333,3.333333333333333,12,0,0,10.0
1177,1302,0.2433333333333333,5244.666666666667,0.0033333333333333327,14.0,1084.6666666666667,10.333333333333334,7.666666666666668,62.0,2,1,0,6.66667
1206,1021,0.15071428571428575,153.78571428571428,0.016428571428571428,3.6428571428571432,65.42857142857143,2.7857142857142856,1.2857142857142858,1.1428571428571428,14,0,0,10.0
1206,1039,0.22833333333333336,17746.916666666668,0.0,13.166666666666664,602.0,6.166666666666668,1.8333333333333333,8.416666666666666,12,0,0,10.0
1206,1069,0.29500000000000004,2540.0,0.0,11.0,2197.0,7.0,5.0,35.0,1,1,0,5.0
1206,1070,0.1958333333333333,441.83333333333326,0.0033333333333333327,9.166666666666666,411.33333333333326,6.333333333333332,2.25,8.833333333333334,12,0,0,10.0
1206,1079,0.23,23864.42857142857,0.005714285714285714,13.142857142857142,550.0,7.571428571428571,3.7142857142857135,13.142857142857142,5,2,3,5.0
1206,1080,0.198,475.6,0.002,8.0,389.6,5.8,0.8,4.2,1,1,4,1.66667
1206,1111,0.21,461.0,0.0,9.666666666666666,423.33333333333326,8.0,2.0,16.333333333333332,3,0,0,10.0
1206,1131,0.21750000000000005,54065.58333333334,0.005,20.75,1188.0833333333333,15.75,7.333333333333332,31.25,8,2,2,6.66667
1206,1137,0.175,1889.5,0.005,14.5,1017.0,12.5,1.0,6.5,1,0,11,0.833333
1206,1154,0.20333333333333334,3032.666666666666,0.006666666666666667,29.0,2117.0,23.0,6.333333333333332,27.66666666666667,2,1,0,6.66667
